obtuvo_credito,numero_parcelas,superficie_total_ha,porcentaje_produccion_venta,anios_actividad,edad,participa_toma_decisiones,pertenece_asociacion,usa_maquinaria,usa_semilla_certificada,tiene_certificacion_calidad,tiene_seguro_agropecuario,recibio_asistencia_tecnica,nivel_educacion,sexo,departamento,region_natural,tipo_riego_predominante,principal_destino_produccion,principal_canal_venta,tipo_riego_predominante_str
true,1,3.8,99.66,15,53,false,false,true,false,false,false,false,Superior no universitaria completa,Mujer,AREQUIPA,Costa,Gravedad,Venta,Acopiador,Gravedad
true,3,5.28,99.38,20,63,false,false,true,false,false,false,false,Primaria completa,Hombre,AREQUIPA,Costa,Otro,Venta,Acopiador,Otro
true,1,5,99.5,25,48,false,false,true,true,false,false,false,Superior no universitaria completa,Hombre,AREQUIPA,Costa,Goteo,Venta,Comerciante mayorista,Goteo
true,22,11.31,87.65,24,54,false,false,true,false,false,false,false,Secundaria incompleta,Hombre,AYACUCHO,Sierra,Secano,Venta,Comerciante mayorista,Secano
true,4,3.25,98.36,10,34,false,false,true,false,false,false,true,Secundaria incompleta,Hombre,AYACUCHO,Sierra,Aspersion,Venta,Comerciante mayorista,Aspersion
true,8,6.5,93.64,35,54,false,false,true,false,false,false,false,Sin nivel,Mujer,AYACUCHO,Sierra,Aspersion,Venta,Comerciante mayorista,Aspersion
true,6,0.69,23.81,13,32,false,false,true,false,false,false,false,Secundaria completa,Mujer,AYACUCHO,Sierra,No especificado,Autoconsumo,Consumidor final,No especificado
true,1,37.3,100,33,55,false,false,true,false,false,false,false,Secundaria incompleta,Mujer,AYACUCHO,Costa,Gravedad,Venta,Acopiador,Gravedad
true,2,1,99.68,30,54,false,false,false,false,false,true,false,Primaria incompleta,Hombre,CAJAMARCA,Sierra,Gravedad,Venta,Consumidor final,Gravedad
true,5,5.35,0,15,40,false,true,false,false,false,false,false,Superior no universitaria incompleta,Hombre,CAJAMARCA,Sierra,Gravedad,Autoconsumo,Sin ventas,Gravedad
true,2,15,0,30,42,false,false,true,false,false,false,false,Secundaria completa,Hombre,CAJAMARCA,Sierra,Aspersion,Autoconsumo,Sin ventas,Aspersion
true,3,3.75,0,30,45,false,false,false,false,false,false,false,Primaria completa,Hombre,CAJAMARCA,Sierra,Gravedad,Otro,Sin ventas,Gravedad
true,2,0.45,74.35,46,64,false,false,false,false,false,false,false,Primaria completa,Hombre,CAJAMARCA,Sierra,Gravedad,Venta,Comerciante minorista,Gravedad
true,2,3.7,97.43,30,53,false,false,true,false,false,false,false,Secundaria completa,Hombre,CAJAMARCA,Costa,Gravedad,Venta,Acopiador,Gravedad
true,3,13,51.67,20,52,false,false,false,false,false,false,false,Primaria completa,Hombre,CAJAMARCA,Sierra,Gravedad,Venta,Comerciante minorista,Gravedad
true,4,52,90.96,50,67,false,false,false,false,false,false,false,Primaria incompleta,Hombre,CAJAMARCA,Sierra,Secano,Venta,Comerciante minorista,Secano
true,2,0.95,25.93,23,39,false,false,true,false,false,false,false,Primaria completa,Mujer,CAJAMARCA,Sierra,Gravedad,Autoconsumo,Comerciante minorista,Gravedad
true,4,10.85,37.75,31,51,false,false,true,false,false,false,false,Primaria incompleta,Hombre,CUSCO,Sierra,Aspersion,Autoconsumo,Consumidor final,Aspersion
true,3,3.18,52.63,29,48,false,false,true,false,false,false,false,Primaria completa,Hombre,CUSCO,Sierra,Aspersion,Venta,Consumidor final,Aspersion
true,2,98,92.71,30,67,false,false,true,false,false,false,false,Secundaria completa,Hombre,CUSCO,Sierra,Goteo,Venta,Comerciante mayorista,Goteo
true,3,1.6,90.91,20,41,false,true,true,false,false,false,false,Primaria completa,Mujer,CUSCO,Sierra,Secano,Venta,Acopiador,Secano
